,3P%,3P%Season Total,3PM-A,3PM-ASeason Total,AST,AST/TO,ASTSeason Total,BLK,BLKSeason Total,DBLDBL,DQ,DR,DRSeason Total,EJECT,FG%,FG%Season Total,FGM-A,FGM-ASeason Total,FLAG,FT%,FT%Season Total,FTM-A,FTM-ASeason Total,GP,GS,MIN,Name,OR,ORSeason Total,PF,PFSeason Total,PTS,PTSSeason Total,RAT,REB,REBSeason Total,SCEFF,SEASON,SEASONSeason Total,SHEFF,STL,STL/TO,STLSeason Total,TEAM,TEAMSeason Total,TECH,TO,TOSeason Total,TRIDBL
0,.296,.296,0.5-1.7,34-115,8.3,2.20,574,0.5,35,26,0,4.1,282,2,.409,.409,5.8-14.1,398-972,1,.766,.766,4.4-5.7,301-393,69,64,37.8,John Wall,0.5,35,2.5,175,16.4,1131,31.83,4.6,317,1.164,'10-'11,'10-'11,.427,1.8,0.46,121,,,7,3.8,261,1
1,.071,.071,0.0-0.6,3-42,8.0,2.08,530,0.9,57,16,0,3.8,252,0,.423,.423,5.7-13.5,378-894,0,.789,.789,4.8-6.1,317-402,66,66,36.2,John Wall,0.7,48,2.1,137,16.3,1076,31.70,4.5,300,1.204,'11-'12,'11-'12,.424,1.4,0.37,95,,,7,3.9,255,0
2,.267,.267,0.2-0.9,12-45,7.6,2.38,373,0.8,37,14,1,3.3,161,1,.441,.441,6.6-15.0,324-735,1,.804,.804,5.0-6.2,246-306,49,42,32.7,John Wall,0.7,35,2.4,117,18.5,906,33.59,4.0,196,1.233,'12-'13,'12-'13,.449,1.3,0.41,65,,,6,3.2,157,0
3,.351,.351,1.3-3.8,108-308,8.8,2.44,721,0.5,40,29,1,3.6,295,0,.433,.433,7.1-16.3,579-1337,1,.805,.805,3.9-4.8,317-394,82,82,36.3,John Wall,0.5,38,2.7,219,19.3,1583,36.20,4.1,333,1.184,'13-'14,'13-'14,.473,1.8,0.51,149,,,2,3.6,295,2
4,.300,.300,0.8-2.7,65-217,10.0,2.61,792,0.6,45,40,0,4.2,330,0,.445,.445,6.6-14.8,519-1166,1,.785,.785,3.6-4.6,284-362,79,79,35.9,John Wall,0.5,36,2.3,180,17.6,1387,36.61,4.6,366,1.190,'14-'15,'14-'15,.473,1.7,0.45,138,,,6,3.8,304,0
5,.351,.351,1.5-4.3,115-328,10.2,2.48,789,0.8,59,49,0,4.4,337,0,.424,.424,7.4-17.5,572-1349,0,.791,.791,3.5-4.5,272-344,77,77,36.2,John Wall,0.6,42,2.1,159,19.9,1531,39.45,4.9,379,1.135,'15-'16,'15-'16,.467,1.9,0.46,145,,,12,4.1,318,4
6,.327,.327,1.1-3.5,89-272,10.7,2.58,831,0.6,49,50,0,3.4,267,2,.451,.451,8.3-18.4,647-1435,2,.801,.801,5.4-6.8,422-527,78,78,36.4,John Wall,0.8,59,1.9,151,23.1,1805,43.30,4.2,326,1.258,'16-'17,'16-'17,.482,2.0,0.49,157,,,15,4.1,322,0
7,.376,.376,0.6-1.7,41-109,1.1,1.59,70,0.4,24,4,0,3.5,223,0,.493,.493,3.1-6.3,199-404,0,.773,.773,1.1-1.4,68-88,64,39,24.0,Kawhi Leonard,1.6,104,1.4,88,7.9,507,16.82,5.1,327,1.255,'11-'12,'11-'12,.543,1.3,1.93,85,,,0,0.7,44,0
8,.374,.374,1.1-3.0,65-174,1.6,1.50,93,0.6,32,6,0,4.9,283,0,.494,.494,4.5-9.1,260-526,0,.825,.825,1.8-2.2,104-126,58,57,31.2,Kawhi Leonard,1.1,63,1.7,99,11.9,689,23.31,6.0,346,1.310,'12-'13,'12-'13,.556,1.7,1.56,97,,,0,1.1,62,0
9,.379,.379,1.0-2.8,69-182,2.0,1.66,133,0.8,50,7,0,5.1,336,0,.522,.522,5.1-9.8,337-645,0,.802,.802,1.5-1.9,101-126,66,65,29.1,Kawhi Leonard,1.2,76,1.9,127,12.8,844,25.77,6.2,412,1.309,'13-'14,'13-'14,.576,1.7,1.43,114,,,0,1.2,80,0
