,3P%,3P%Season Total,3PM-A,3PM-ASeason Total,AST,AST/TO,ASTSeason Total,BLK,BLKSeason Total,DBLDBL,DQ,DR,DRSeason Total,EJECT,FG%,FG%Season Total,FGM-A,FGM-ASeason Total,FLAG,FT%,FT%Season Total,FTM-A,FTM-ASeason Total,GP,GS,MIN,Name,OR,ORSeason Total,PF,PFSeason Total,PTS,PTSSeason Total,RAT,REB,REBSeason Total,SCEFF,SEASON,SEASONSeason Total,SHEFF,STL,STL/TO,STLSeason Total,TEAM,TEAMSeason Total,TECH,TO,TOSeason Total,TRIDBL
52,.349,.349,1.8-5.1,143-410,3.7,1.47,296,0.3,27,4,0,4.2,336,0,.433,.433,6.5-15.0,521-1202,0,.824,.824,4.9-6.0,393-477,80,80,36.2,Gordon Hayward,0.8,61,2.3,183,19.7,1578,30.74,5.0,397,1.313,'15-'16,'15-'16,.493,1.2,0.47,95,,,1,2.5,202,0
53,.398,.398,2.0-5.1,149-374,3.5,1.80,252,0.3,20,2,0,4.7,345,0,.471,.471,7.5-15.8,545-1156,0,.844,.844,5.0-5.9,362-429,73,73,34.5,Gordon Hayward,0.7,49,1.6,117,21.9,1601,34.50,5.4,394,1.385,'16-'17,'16-'17,.536,1.0,0.52,73,,,0,1.9,140,0
54,.437,.437,2.1-4.8,166-380,5.9,1.93,472,0.2,19,12,4,3.9,308,0,.462,.462,6.6-14.3,528-1143,0,.885,.885,2.2-2.5,177-200,80,77,36.2,Stephen Curry,0.6,48,3.2,252,17.5,1399,32.11,4.5,356,1.224,'09-'10,'09-'10,.535,1.9,0.62,152,,,0,3.1,244,1
55,.442,.442,2.0-4.6,151-342,5.8,1.91,432,0.3,20,5,2,3.2,234,0,.480,.480,6.8-14.2,505-1053,0,.934,.934,2.9-3.1,212-227,74,74,33.6,Stephen Curry,0.7,52,3.1,233,18.6,1373,32.78,3.9,286,1.304,'10-'11,'10-'11,.551,1.5,0.48,109,,,0,3.1,226,0
56,.455,.455,2.1-4.7,55-121,5.3,2.12,138,0.3,8,3,0,2.8,73,0,.490,.490,5.6-11.4,145-296,0,.809,.809,1.5-1.8,38-47,26,23,28.2,Stephen Curry,0.6,15,2.4,62,14.7,383,27.80,3.4,88,1.294,'11-'12,'11-'12,.583,1.5,0.60,39,,,1,2.5,65,0
57,.453,.453,3.5-7.7,272-600,6.9,2.25,539,0.2,12,15,2,3.3,255,0,.451,.451,8.0-17.8,626-1388,0,.900,.900,3.4-3.7,262-291,78,78,38.2,Stephen Curry,0.8,59,2.5,198,22.9,1786,38.77,4.0,314,1.287,'12-'13,'12-'13,.549,1.6,0.53,126,,,3,3.1,240,0
58,.424,.424,3.3-7.9,261-615,8.5,2.27,666,0.2,14,28,1,3.7,288,0,.471,.471,8.4-17.7,652-1383,0,.885,.885,3.9-4.5,308-348,78,78,36.5,Stephen Curry,0.6,46,2.5,194,24.0,1873,42.60,4.3,334,1.354,'13-'14,'13-'14,.566,1.6,0.43,127,,,0,3.8,294,4
59,.443,.443,3.6-8.1,286-646,7.7,2.49,619,0.2,16,23,0,3.6,285,0,.487,.487,8.2-16.8,653-1341,0,.914,.914,3.9-4.2,308-337,80,80,32.7,Stephen Curry,0.7,56,2.0,158,23.8,1900,42.73,4.3,341,1.417,'14-'15,'14-'15,.594,2.0,0.65,163,,,2,3.1,249,0
60,.454,.454,5.1-11.2,402-886,6.7,2.01,527,0.2,15,15,0,4.6,362,0,.504,.504,10.2-20.2,805-1598,0,.908,.908,4.6-5.1,363-400,79,79,34.2,Stephen Curry,0.9,68,2.0,161,30.1,2375,50.41,5.4,430,1.486,'15-'16,'15-'16,.630,2.1,0.65,169,,,3,3.3,262,2
61,.411,.411,4.1-10.0,324-789,6.6,2.20,524,0.2,17,9,1,3.7,292,0,.468,.468,8.5-18.3,675-1443,0,.898,.898,4.1-4.6,325-362,79,79,33.4,Stephen Curry,0.8,61,2.3,183,25.3,1999,42.52,4.5,353,1.385,'16-'17,'16-'17,.580,1.8,0.60,142,,,4,3.0,238,0
62,.000,.000,0.0-0.0,0-2,0.4,0.56,24,1.2,73,6,3,2.7,168,0,.503,.503,3.8-7.6,241-479,0,.722,.722,1.3-1.8,83-115,63,22,22.1,LaMarcus Aldridge,2.3,144,3.0,186,9.0,565,16.67,5.0,312,1.180,'06-'07,'06-'07,.503,0.3,0.51,22,,,1,0.7,43,0
63,.143,.143,0.0-0.1,1-7,1.6,0.97,122,1.2,94,19,7,4.7,358,0,.484,.484,7.4-15.3,561-1160,0,.762,.762,3.0-3.9,227-298,76,76,34.9,LaMarcus Aldridge,2.9,220,3.2,240,17.8,1350,29.99,7.6,578,1.164,'07-'08,'07-'08,.484,0.7,0.44,55,,,0,1.7,126,0
64,.250,.250,0.1-0.3,7-28,1.9,1.30,157,1.0,77,19,4,4.6,371,0,.484,.484,7.4-15.3,601-1243,0,.781,.781,3.2-4.1,261-334,81,81,37.1,LaMarcus Aldridge,2.9,234,2.6,207,18.1,1470,30.77,7.5,605,1.183,'08-'09,'08-'09,.486,1.0,0.64,77,,,2,1.5,121,0
65,.313,.313,0.1-0.2,5-16,2.1,1.54,160,0.6,48,24,2,5.6,435,0,.495,.495,7.4-15.0,579-1169,1,.757,.757,2.9-3.9,230-304,78,78,37.5,LaMarcus Aldridge,2.5,192,3.0,231,17.9,1393,30.94,8.0,627,1.192,'09-'10,'09-'10,.497,0.9,0.64,67,,,1,1.3,104,0
